0,1,2,3,4,5,6,7,8,9,label
1.764052346,0.400157208,0.978737984,2.240893199,1.86755799,-0.97727788,0.950088418,-0.151357208,-0.103218852,0.410598502,1
0.144043571,1.454273507,0.761037725,0.121675016,0.443863233,0.333674327,1.494079073,-0.205158264,0.313067702,-0.854095739,-1
-2.552989816,0.653618595,0.864436199,-0.74216502,2.269754624,-1.454365675,0.045758517,-0.18718385,1.532779214,1.46935877,1
0.154947426,0.37816252,-0.887785748,-1.980796468,-0.347912149,0.156348969,1.230290681,1.202379849,-0.387326817,-0.302302751,-1
-1.048552965,-1.420017937,-1.706270191,1.950775395,-0.509652182,-0.438074302,-1.25279536,0.777490356,-1.613897848,-0.21274028,1
-0.895466561,0.386902498,-0.510805138,-1.180632184,-0.028182228,0.428331871,0.066517222,0.302471898,-0.634322094,-0.362741166,-1
-0.672460448,-0.359553162,-0.813146282,-1.726282602,0.177426142,-0.401780936,-1.630198347,0.462782256,-0.907298364,0.051945396,-1
0.729090562,0.128982911,1.139400685,-1.23482582,0.402341641,-0.684810091,-0.870797149,-0.578849665,-0.311552532,0.056165342,-1
-1.165149841,0.900826487,0.46566244,-1.536243686,1.488252194,1.895889176,1.178779571,-0.179924836,-1.070752622,1.054451727,1
-0.403176947,1.22244507,0.208274978,0.976639036,0.356366397,0.706573168,0.010500021,1.785870494,0.126912093,0.401989363,-1
1.883150697,-1.347759061,-1.270484998,0.969396708,-1.173123405,1.943621186,-0.413618981,-0.747454811,1.922942026,1.480514791,1
1.86755896,0.906044658,-0.861225685,1.910064953,-0.268003371,0.802456396,0.947251968,-0.155010093,0.61407937,0.922206672,1
0.376425531,-1.099400791,0.298238174,1.326385897,-0.69456786,-0.14963454,-0.435153552,1.849263728,0.672294757,0.407461836,-1
-0.769916074,0.539249191,-0.674332661,0.031830558,-0.635846078,0.676433295,0.576590817,-0.208298756,0.396006713,-1.093061509,-1
-1.491257593,0.439391701,0.166673495,0.635031437,2.383144775,0.944479487,-0.912822225,1.117016288,-1.315907411,-0.461584605,1
-0.068241605,1.713342722,-0.744754822,-0.826438539,-0.098452524,-0.663478286,1.126635922,-1.079931508,-1.147468652,-0.437820045,-1
-0.498032451,1.929532054,0.949420807,0.087551241,-1.225435519,0.844362976,-1.000215347,-1.544771097,1.188029792,0.316942612,1
0.920858824,0.318727653,0.856830612,-0.651025593,-1.034242842,0.681594518,-0.803409664,-0.689549778,-0.455532504,0.017479159,-1
-0.353993911,-1.374951293,-0.643618403,-2.223403152,0.625231451,-1.602057656,-1.104383339,0.052165079,-0.739562996,1.543014595,1
-1.29285691,0.267050869,-0.039282818,-1.168093498,0.523276661,-0.171546331,0.771790551,0.823504154,2.163235949,1.336527949,1
-0.369181838,-0.239379178,1.099659596,0.655263731,0.640131526,-1.616956044,-0.024326124,-0.738030909,0.279924599,-0.09815039,-1
0.910178908,0.317218215,0.786327962,-0.466419097,-0.944446256,-0.410049693,-0.017020414,0.379151736,2.259308951,-0.042257152,-1
-0.955945,-0.345981776,-0.463595975,0.481481474,-1.540797014,0.063261994,0.156506538,0.232181036,-0.597316069,-0.23792173,-1
-1.424060909,-0.493319883,-0.542861476,0.416050046,-1.156182432,0.781198102,1.494484544,-2.069985025,0.426258731,0.676908035,1
-0.637437026,-0.397271814,-0.132880578,-0.297790879,-0.309012969,-1.676003806,1.152331565,1.079618592,-0.813364259,-1.466424328,-1
